Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Pytanie ENG,Odpowiedź ENG A,Odpowiedź ENG B,Odpowiedź ENG C,Pytanie DE,Odpowiedź DE A,Odpowiedź DE B,Odpowiedź DE C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Nazwa media tłumaczenie migowe (SJM) treść pyt,Nazwa media tłumaczenie migowe (SJM) treść odp A,Nazwa media tłumaczenie migowe (SJM) treść odp B,Nazwa media tłumaczenie migowe (SJM) treść odp C
6892,Kiedy kierując autobusem masz obowiązek wyłączyć tylne światła przeciwmgłowe?,Gdy widoczność wzrośnie do 30 m.,Gdy widoczność wzrośnie do 40 m.,Gdy widoczność wzrośnie powyżej 50 m.,"While driving a bus, when do you have to turn off the rear anti-fog lights?",When visibility increases to 30 m.,When visibility increases to 40 m.,When visibility increases to 60 m.,"Wann sollen Sie die Nebelschlussleuchte ausschalten, wenn Sie einen Bus fahren?",Wenn die Sichtweite bis 30 m steigt.,Wenn die Sichtweite bis 40 m steigt.,Wenn die Sichtweite über 50 m steigt.,C,6B224.jpg,SPECJALISTYCZNY,2,"D,D1",D5,,,,,,,,
6893,Kiedy kierując autobusem masz obowiązek przełączyć światła drogowe na światła mijania?,Gdy z przeciwka nadjeżdża inny pojazd.,Gdy zaczyna padać deszcz.,Gdy wjeżdżasz na obszar zabudowany.,"While driving a bus, when do you have to switch from high-beam to low-beam lights?",When another vehicle is approaching from the opposite direction.,When it starts to rain.,When you enter a built-up area.,"Wann sollen Sie Fernlicht abblenden, wenn Sie einen Bus fahren?",Wenn ein anderes Fahrzeug entgegenkommt.,"Wenn es beginnt, zu regnen.",Wenn Sie in geschlossene Ortschaft einfahren.,A,6B225.jpg,SPECJALISTYCZNY,2,"D,D1",D5,,,,,,,,
6894,Kiedy kierując autobusem masz obowiązek przełączyć światła drogowe na światła mijania?,Zawsze gdy widzisz pojazd poprzedzający.,Zawsze gdy istnieje możliwość oślepienia kierującego pojazdem poprzedzającym.,Zawsze gdy widzisz pojedynczego pieszego na jezdni.,When must you switch from high-beam to low-beam lights?,Always when you see the vehicle in front of you.,Always when there is a possibility of blinding the driver of the vehicle in front of you.,Always when you see a single pedestrian on the road.,"Wann sollen Sie Fernlicht abblenden, wenn Sie einen Bus fahren?","Immer, wenn Sie das vorausfahrende Fahrzeug sehen.","Immer, wenn eine Gefahr besteht, dass der Führer des vorausfahrenden Fahrzeugs geblendet wird.","Immer, wenn Sie einen einzelnen Fußgänger auf der Fahrbahn sehen.",B,6B226.jpg,SPECJALISTYCZNY,2,"D,D1",D5,,,,,,,,
6895,W jakiej pozycji powinien być ustawiony fotel kierującego autobusem?,"Tak, by plecy kierującego nie przylegały do oparcia fotela.","Tak, by podczas wciskania pedału sprzęgła noga była całkowicie wyprostowana.","Tak, by podczas wciśniętego całkowicie pedału sprzęgła noga była lekko zgięta w kolanie.",What should be the position of the seat of a bus driver?,Such that the back of the driver does not rest against the backrest.,Such that the leg is fully straightened when pressing the clutch.,Such that the leg is slightly bent at the knee when pressing the clutch pedal all the way down.,In welcher Position soll der Fahrersitz im Bus eingestellt werden?,"So, dass der Rücken des Fahrers an der Sitzlehne nicht anliegt.","So, dass das Bein komplett gestreckt wird, wenn die Kupplung getreten wird,.","So, dass das Bein etwas angewinkelt bleibt, wenn die Kupplung durchgetreten ist.",C,6B301.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6896,"Co, kierując autobusem, powinieneś widzieć w prawidłowo ustawionych lusterkach zewnętrznych (bocznych)?",Tylko boki pojazdu.,Obszar za pojazdem i boki pojazdu.,Tylko sąsiedni pas ruchu.,"While driving a bus, what should you see in properly-adjusted external mirrors (""rear-view mirrors"")?",Only the sides of the car.,The area behind the car and the sides of the car.,Only the adjacent lane.,"Was sollen Sie in den richtig eingestellten Außenspiegeln (""Rückspiegeln"") sehen, wenn Sie einen Bus führen?",Nur Seiten des Fahrzeugs.,Den Bereich hinter dem Fahrzeug und Seiten des Fahrzeugs.,Nur den benachbarten Fahrstreifen.,B,,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6897,Na którym biegu rozpoczniesz jazdę autobusem do przodu w dobrych warunkach drogowych na płaskim terenie?,Najniższym określonym przez producenta.,"Trzecim, jeżeli autobus nie jest obciążony.",Pierwszym skrzyni górnej.,"In which gear will a bus start moving forward in good road conditions, on a flat surface?","The lowest gear, as specified by the manufacturer.","The third gear, unless the bus is loaded.",The first gear of the upper gear box.,In welchem Gang werden Sie bei guten Straßenbedingungen auf einem ebenen Untergrund mit einem Bus vorwärts anfahren?,"Im niedrigsten, wie vom Hersteller angegeben.","Im dritten, wenn der Bus nicht belastet ist.",Im ersten des oberen Getriebes.,A,6B303.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6898,Jaki jest najbardziej efektywny sposób rozpędzania autobusu?,Poprzez osiąganie maksymalnych obrotów silnika na kolejnych biegach.,"Poprzez taką zmianę biegów, by obroty silnika nie były niższe niż wartość rozpoczynająca zielone pole obrotomierza.","Poprzez wykorzystanie kolejno wszystkich biegów, nawet jeśli wskaźnik obrotomierza jest na czerwonym polu.",What is the most effective way of speeding up a bus?,By reaching the maximum RPM of the engine in all subsequent gears.,By changing gears in such a way that the RPM of the engine is not lower than the starting value of the green area on the tachometer.,"By using all gears successively, even if the tachometer indicator is in the red area.",Wie kann man den Bus am effektivsten beschleunigen?,Durch Erreichen der höchsten Drehzahl in den einzelnen Gängen.,"Dass man in die nächsthöheren Gänge so schaltet, dass die Drehzahl keinen niedrigeren Wert als der Wert, ab dem das grüne Feld des Drehzahlmessers beginnt, erreicht.","In alle Gänge schalten, auch wenn die Anzeige des Drehzahlmessers im roten Bereich ist.",B,6B304.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6902,W jaki sposób kierując autobusem skręcisz w prawo na skrzyżowaniu?,Skręcisz pod kątem zbliżonym do prostego z użyciem hamulca pomocniczego.,Skręcisz w prawo po zbliżeniu się do prawej krawędzi jezdni bez względu na wymiary pojazdu.,"Wybierzesz tor jazdy uwzględniając to, że podczas skrętu tył autobusu ""zachodzi"".","While driving a bus, how will you turn right at the intersection?","You will turn at an angle as close to the straight angle as possible, using the auxiliary brake at the same time.","You will turn right after coming as close as possible to the right edge of the road, regardless of the size of the vehicle.","You will choose the trajectory, taking into account that the back of the bus wings to the side during a turn.","Wie biegen Sie an der Kreuzung nach rechts ab, wenn Sie einen Bus fahren?","Sie biegen im fast rechten Winkel ab, wobei Sie die Hilfsbremse benutzen.","Sie biegen nach rechts ab, nachdem Sie sich dem rechten Fahrbahnrand genähert haben, ohne Hinsicht auf die Abmessungen des Fahrzeugs.","Sie wählen die Fahrlinie unter der Berücksichtigung, dass der Bus während des Abbiegens ausschwenkt.",C,6B310.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6903,Co powinien zrobić kierowca autobusu przed rozpoczęciem manewru cofania?,W razie potrzeby zapewnić sobie pomoc drugiej osoby.,"Spojrzeć przez tylną szybę, czy nie ma przeszkód, wrócić na fotel kierowcy i rozpocząć manewr.",Włączyć tylne światła przeciwmgłowe.,What should a bus driver do before he starts reversing?,"If necessary, ask another person to help.","look through the rear windshield to see if there are any obstacles on the road, return to the driver's seat and start the manoeuvre.",Turn on the rear anti-fog lights.,"Was soll der Busfahrer tun, bevor er das Manöver des Rückwärtsfahrens durchführt?",Bei Bedarf sich durch eine andere Person einweisen zu lassen.,"Durch die Heckscheibe schauen, ob es keine Hindernisse gibt, sich wieder auf den Fahrersitz setzten und das Manöver durchführen.",Nebelschlussleuchten einschalten.,A,6B311.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6904,"Którą z wymienionych czynności, kierując autobusem, powinieneś wykonać w celu uzyskania największej skuteczności hamowania silnikiem?",Włączyć wyższy bieg.,Wcisnąć pedał sprzęgła.,Włączyć w miarę możliwości jak najniższy bieg.,"While driving a bus, which of the following activities should be performed in order to achieve the highest efficiency of braking with the engine?",Engage a higher gear.,Press the clutch pedal.,If possible engage the lowest gear.,"Welchen von den genannten Tätigkeiten sollen Sie zur Erreichung der besten Wirkung der Motorbremse ausführen, wenn Sie einen Bus fahren?",In den höheren Gang schalten.,Das Kupplungspedal durchtreten.,In den möglichst niedrigsten Gang schalten.,C,6B317.jpg,SPECJALISTYCZNY,3,"D,D1",D6,,,,,,,,
6905,Który z systemów bezpieczeństwa stosowany w autobusach odpowiada za bardziej efektywny sposób hamowania?,System stabilizacji toru jazdy.,System kontroli trakcji.,System przeciwblokujący (ABS).,Which of the safety systems applied in buses is responsible for the most effective method of braking?,The electronic stability control system (ESC or ESP).,The traction control system (TCS or ASR),The anti-lock braking system (ABS).,Welches von den in Bussen angewandten Sicherheitssystemen ist für die effektivere Bremsung verantwortlich?,Fahrstabilisierungs-System.,System der Traktionskontrolle.,Anti-Blockier-System (ABS).,C,6C101.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6906,Jaką funkcję spełnia zwalniacz (retarder) stosowany w autobusach?,Przyczynia się do bardziej efektywnego rozpędzania autobusu.,Daje możliwość alternatywnego hamowania.,"Zabezpiecza przed poślizgiem, który może pojawić się w czasie hamowania.",What is the function of a retarder applied in buses?,It contributes to a more effective speeding-up of the bus.,It offers the possibility of an alternative method of braking.,It protects against skidding which may occur at the time of breaking.,Welche Funktion erfüllt der in Bussen angewandte Verlangsamer (Retarder)?,Er trägt zur effektiveren Beschleunigung des Busses bei.,"Er gibt eine Möglichkeit, alternativ zu bremsen.","Er schützt vor Schleudern, das beim Bremsen auftreten kann.",B,6C104.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6907,Czy osoba dorosła przewożona autobusem na siedzeniu wyposażonym w pasy bezpieczeństwa ma obowiązek z nich korzystać?,Tak.,"Tak, ale tylko wtedy, gdy przed tym miejscem nie ma innych siedzeń.","Nie, gdyż ten obowiązek nie dotyczy autobusu.","Should an adult person transported in a bus, sitting in a seat equipped with safety seat belts, use such seat belts?",Yes.,"Yes, but only when there are no other seats in front of such seat.","No, because this obligation does not apply to a bus.","Soll der mit einem Bus auf dem Sitzplatz beförderte Erwachsene den Sicherheitsgurt benutzen, wenn der Bus mit Sicherheitsgurten ausgerüstet ist?",Ja.,"Ja, aber nur dann, wenn es vor diesem Sitz keine anderen Sitze gibt.","Nein, weil diese Pflicht für Busse nicht gilt.",A,6C106.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6908,Ile może wynosić łączna masa przewożonych w autobusie osób i ich bagażu?,"Tyle, ile wynosi dopuszczalna ładowność autobusu.","Tyle, ile wynosi dopuszczalna masa całkowita autobusu.","Tyle, ile wynosi masa rzeczywista autobusu.",What may be the total weight of people and their luggage transported in a bus?,As much as the maximum gross capacity of the bus.,As much as the gross vehicle weight.,As much as the empty weight of the bus.,Wie viel kann die Gesamtmasse der im Bus beförderten Personen und ihres Gepäcks betragen?,"Soviel, wie die zulässige Nutzlast des Busses beträgt.","Soviel, wie die zulässige Gesamtmasse des Busses beträgt.","Soviel, wie die Ist-Masse des Busses beträgt.",A,6C109.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6909,Gdzie powinien być przewożony bagaż w autobusie turystycznym?,Na siedzeniach pasażera.,Pomiędzy siedzeniami.,W lukach bagażowych.,Where should luggage be transported in a tourist bus?,On passengers' seats.,Between seats.,In the luggage hold.,Wo soll das Gepäck im Reisebus befördert werden?,Auf den Sitzen für Passagiere.,Zwischen den Sitzen.,In Stauräumen für Gepäck.,C,6C110.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6910,W jaki sposób powinien być przewożony autobusem turystycznym bagaż o ostro zakończonych krawędziach?,Pomiędzy siedzeniami.,W lukach bagażowych.,Pod siedzeniami.,How should luggage be transported in a tourist bus if it has sharp edges?,Between seats.,In the luggage hold.,Under the seats.,Wie soll das Reisegepäck mit scharfen Kanten mit einem Bus befördert werden?,Zwischen den Sitzen.,In Stauräumen für Gepäck.,Unter den Sitzen.,B,6C111.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6911,Czego nie możesz robić kierując autobusem przewożącym osoby?,Słuchać muzyki.,Rozmawiać przez telefon głośnomówiący.,Palić tytoniu.,What must a bus driver carrying passengers not do?,Listen to music.,Talk on the speakerphone.,Smoke cigarettes.,"Was dürfen Sie nicht tun, wenn Sie einen Bus fahren, der Personen befördert?",Musik hören.,Durch ein lautsprechendes Telefon sprechen.,Rauchen.,C,6C112.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6912,Czego nie wolno Ci robić kierując autobusem przewożącym osoby?,Spożywać pokarmów.,Korzystać z nawigacji.,Używać CB radia.,What must you not do when you drive a bus transporting passengers?,Eat.,Use a GPS navigation device.,Use a CB radio.,"Was dürfen Sie nicht tun, wenn Sie einen Bus fahren, der Personen befördert?",Essen.,Navigationsgerät verwenden.,CB-Funkgerät benutzen.,A,6C113.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6913,Co masz obowiązek zrobić kierując autobusem przewożącym osoby przed ruszeniem z miejsca postoju?,Zawsze włączyć kierunkowskaz.,"Upewnić się, że drzwi w autobusie są zamknięte.",Poinformować pasażerów o miejscu następnego postoju.,What must a bus driver transporting passengers do before driving off?,Always turn on the direction indicator.,Make sure that all doors are closed in the bus.,Inform the passengers of the next stop.,"Was sollen Sie als Fahrer des Busses, der Personen befördert, tun, bevor Sie von der Haltestelle abfahren?",Immer den Fahrtrichtungsanzeiger einschalten.,"Sich vergewissern, dass Türen im Bus geschlossen sind.",Den Passagieren den Ort der nächsten Haltestelle bekanntgeben.,B,6C114.jpg,SPECJALISTYCZNY,2,"D,D1",D7,,,,,,,,
6915,Który dokument jest zobowiązany mieć przy sobie kierujący autobusem podczas wykonywania przewozu drogowego osób?,Licencję.,Kserokopię licencji potwierdzoną notarialnie.,Wypis z licencji.,Which of the following documents should a bus driver have on him while performing road transport of passengers?,The licence.,A photocopy of the licence certified by a notary.,An excerpt from the licence.,"Welches von den genannten Dokumenten muss der Busfahrer mitführen, wenn er die Personenbeförderung im Straßenverkehr ausführt?",Lizenz.,Notariell beglaubigte Photokopie der Lizenz.,Auszug aus der Lizenz.,C,6C204.jpg,SPECJALISTYCZNY,1,"D,D1",D8,,,,,,,,
6916,"Który dokument jest zobowiązany mieć przy sobie kierujący, który wykonuje regularny przewóz drogowy osób?",Licencję wraz z obowiązującym rozkładem jazdy.,Wypis z zezwolenia wraz z obowiązującym rozkładem jazdy.,Orzeczenia lekarskie i psychologiczne.,Which of the following documents should a bus driver have on him while performing regular road transport of passengers?,The licence together with the current schedule.,An extract from the licence together with the current schedule.,A medical and psychological certificate.,"Welches von den genannten Dokumenten muss der Busfahrer mitführen, wenn er die regelmäßige Personenbeförderung im Straßenverkehr ausführt?",Lizenz mit dem geltenden Fahrplan.,Auszug aus der Genehmigung mit dem geltenden Fahrplan.,Ärztliches und psychologisches Gutachten.,B,6C205.jpg,SPECJALISTYCZNY,1,"D,D1",D8,,,,,,,,
6917,"Który dokument jesteś zobowiązany mieć przy sobie, gdy wykonujesz autobusem międzynarodowy przewóz okazjonalny?",Licencję.,Formularz jazdy.,Wypis z porozumienia INTERBUS.,Which of the following documents must you have on you while performing services consisting of occasional international transport?,The licence.,A driving form.,An extract from the INTERBUS agreement.,"Welches von den genannten Dokumenten müssen Sie mitführen, wenn Sie eine gelegentliche internationale Beförderung mit dem Bus ausführen?",Lizenz.,Fahrtformular.,Auszug aus der Vereinbarung INTERBUS.,B,6C211.jpg,SPECJALISTYCZNY,1,"D,D1",D8,,,,,,,,
6918,"Który dokument jesteś zobowiązany mieć przy sobie, gdy wykonujesz autobusem międzynarodowy przewóz wahadłowy?",Formularz jazdy.,Zaświadczenie drogowe.,Kserokopię licencji.,Which of the following documents must you have on you if you perform services consisting of international shuttle services?,A driving form.,A road certificate.,A photocopy of the licence.,"Welches von den genannten Dokumenten müssen Sie mitführen, wenn Sie eine internationale Beförderung im Straßenverkehr mit dem Bus ausführen?",Fahrtformular.,Straßenbescheinigung.,Photokopie der Lizenz.,A,6C212.jpg,SPECJALISTYCZNY,1,"D,D1",D8,,,,,,,,
6921,Jakie niezbędne czynności powinien wykonać kierowca autobusu w czasie wymiany koła na drodze?,Pozostawić silnik włączony.,"Unieść podnośnikiem pojazd na tyle, by powstał odstęp pomiędzy oponą a podłożem pozwalający na zamontowanie sprawnego koła..","Zwolnić hamulec postojowy, żeby umożliwić swobodny obrót koła.",What necessary activities should be performed by a bus driver while replacing a wheel on the road?,Leave the engine running.,Raise the vehicle with a jack to a sufficient height to create a distance between the tyre and the surface.,"Release the parking brake, in order to ensure free movement of the wheel.",Welche nötigen Schritte soll der Busfahrer beim Radwechsel auf der Straße ausführen?,Den Motor laufen lassen.,"Das Fahrzeug mit einem Wagenheber so hoch heben, damit zwischen dem Reifen und dem Untergrund ein Abstand für die Montage eines fahrtüchtigen Rads entsteht.","Die Feststellbremse loslassen, damit sich das Rad frei drehen kann.",B,6C301.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6922,Jakie niezbędne czynności powinien wykonać kierowca autobusu w czasie wymiany koła?,Ustawić podnośnik w miejscu wskazanym przez producenta.,Odłączyć akumulator.,Po wymianie dokręcić koło maksymalną siłą nie zwracając uwagi na moment dokręcania.,What necessary activities should be performed by a bus driver while replacing a wheel?,Place the jack in a place indicated by the producer.,Disconnect the battery.,"After replacement, tighten the screws on the wheel with maximum force, without paying any attention to the recommended torque.",Welche nötigen Schritte soll der Busfahrer beim Radwechsel ausführen?,Den Wagenheber in der durch Hersteller angegebenen Position aufstellen.,Batterie abschalten.,"Nach dem Radwechsel das Rad mit der maximalen Kraft festschrauben, ohne das Anzugsmoment zu beachten.",A,6C302.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6923,Jakie paliwo należy stosować do silników wysokoprężnych w autobusach?,Olej opałowy.,Olej napędowy spełniający odpowiednią normę.,Olej napędowy z naftą w każdych warunkach temperaturowych.,What fuel should be used in diesel engines commonly found in buses?,Heating oil.,Diesel oil meeting the relevant standards.,"Diesel oil with kerosene, in all temperature conditions.","Welcher Kraftstoff ist für Dieselmotoren, die allgemein in Bussen eingesetzt werden, zu verwenden?",Heizöl.,"Treiböl, das die betreffenden Normen erfüllt.",Treiböl mit Petroleum bei allen Temperaturverhältnissen.,B,6C303.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6924,Czy możesz dolewać wody do układu chłodzącego silnika autobusu?,"Tak, ale tylko w sytuacjach awaryjnych i przy dodatnich temperaturach otoczenia.","Tak, ale tylko przy ujemnych temperaturach otoczenia.","Nie, w żadnej sytuacji.",Can you add water to the cooling system of a bus engine?,"Yes, but only in emergency situations and when ambient temperature is above zero.","Yes, but only when ambient temperature is below zero.","No, under no circumstances.",Dürfen Sie Wasser im Kühlsystem des Busmotors ergänzen?,"Ja, aber nur in Notfällen und bei Plustemperatur.","Ja, aber nur bei Minustemperaturen.","Nein, in keinem Fall.",A,6C306.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6925,Co zastosujesz do rozcieńczania koncentratu będącego głównym składnikiem płynu chłodzącego?,Wodę destylowaną.,Wodę wysokozmineralizowaną.,Wodę utlenioną.,"What will you use to dilute the concentrate, which is the main component of the cooling liquid?",Distilled water.,Highly-mineralized water.,Hydrogen peroxide.,"Was werden Sie zur Verdünnung des Konzentrats, der den Hauptinhaltsstoff der Kühlflüssigkeit bildet, verwenden?",Destilliertes Wasser.,Mineralreiches Wasser.,Wasserstoffsuperoxidlösung.,A,6C307.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6926,Które podzespoły autobusu smarowane są olejem przekładniowym?,Silnik.,Skrzynia biegów.,Sworznie i przeguby.,Which sub-assemblies of the bus are lubricated with gear oil?,The engine.,The gear box.,Ball joints and CV joints.,Welche Aggregate des Busses werden mit Getriebeöl geschmiert?,Motor.,Schaltgetriebe.,Bolzen und Gelenke.,B,6C311.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6928,Co powoduje powstanie zapłonu w silniku wysokoprężnym?,Małe ciśnienie sprężania powietrza.,Niska temperatura sprężonego powietrza.,Wysoka temperatura powietrza.,What causes ignition in a diesel oil?,Low pressure of air compression.,Low temperature of compressed air.,High temperature of the air.,Wodurch entsteht eine Zündung im Dieselmotor?,Niedriger Druck der Luftverdichtung.,Niedrige Temperatur der Druckluft.,Hohe Lufttemperatur.,C,6C315.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6929,"W jaki sposób, kierując autobusem, możesz stwierdzić nadmierny luz mechanizmu kierowniczego?",Po zwiększonym ruchu jałowym na kole kierowniczym.,Po zwiększonym zużywaniu się opony jednego z kół tylnych.,Po zmniejszonym zużyciu paliwa.,"When you drive a bus, how can you identify excessive clearance of the steering mechanism?",By an increased idle movement of the steering wheel.,By excessive wearing of a tyre on one of the rear wheels.,By decreased fuel consumption.,"Wie können Sie beim Busfahren feststellen, dass die Lenkung zu viel Spiel hat?",Durch einen zu großen Leerlauf des Lenkrads.,Durch einen größeren Verschleiß des Reifens an einem Hinterrad.,Durch einen kleineren Kraftstoffverbrauch.,A,6C316.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6930,Jaki objaw świadczy o nieprawidłowym działaniu urządzenia wspomagającego układu kierowniczego w autobusie?,Znacznie zmniejszony opór ruchu koła kierownicy.,Boczne znoszenie kół osi przedniej podczas jazdy po łuku drogi.,Znacznie zwiększony opór ruchu koła kierownicy.,What symptom indicates a malfunction of the power steering system in a bus?,Significantly reduced resistance of the steering wheel movement.,Drifting of the front wheels sideways while driving on a bend.,Significantly increased resistance of the steering wheel movement.,Welches von den genannten Symptome deutet auf defekte Servolenkung im Bus hin?,Leichtgängigkeit des Lenkrads..,Seitlicher Schräglauf der Räder der Vorderachse beim Kurvenfahren.,erhebliche Schwergängigkeit des Lenkrads,C,6C317.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6931,Jakie objawy podczas kierowania autobusem świadczą o nadmiernym luzie w przegubach układu kierowniczego?,Trudność w utrzymaniu prostego toru jazdy.,Zwiększony opór na kole kierownicy.,Łatwość w utrzymaniu prostego toru jazdy.,What symptoms observed while driving a bus indicates that there is excessive clearance in the universal joints of the steering system?,Difficulty in maintaining a straight trajectory of motion.,Increased resistance of the steering wheel.,Ease of maintaining a straight trajectory of motion.,"Welche Symptome beim Busfahren deuten darauf, dass die Lenkungsgelenke zu viel Spiel haben?","Es ist schwer, die gerade Fahrspur zu halten.",Erhöhte Schwergängigkeit des Lenkrads,"Es ist leicht, die gerade Fahrspur zu halten.",A,6C318.jpg,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6932,Co może być powodem nieszczelności w pneumatycznym układzie hamulcowym stosowanym w autobusach?,Uszkodzenie zaworów powietrznych.,Nadmierne luzy na rozpieraczach szczęk hamulcowych.,Zużyte tarcze hamulcowe.,What may be the cause of lack of tightness in the pneumatic braking system applied in buses?,A damage to air valves.,Excessive clearance on brake shoes spreaders/star wheel adjusters.,Worn brake rotors.,"Welche Ursache kann für Undichtigkeiten in der pneumatischen Bremsanlage, die in Bussen eingesetzt ist, vorliegen?",Defekte Luftventile.,Zu großes Spiel an Bremsnocken.,Verschleiß der Bremsscheiben.,A,,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6933,Który z wymienionych objawów może świadczyć o niesprawności sprężarki powietrza układu hamulcowego w autobusie?,W czasie hamowania słychać syk powietrza w siłowniku przeponowym.,Obniżone ciśnienie w układzie pneumatycznym.,Nagły wzrost ciśnienia w układzie hamulcowym.,Which of the following symptoms may indicate a malfunction of the air compressor of the brake system in the bus?,Audible air hissing in the diaphragm actuator while braking.,Reduced pressure in the pneumatic system.,Sudden increase in pressure in the braking system.,Welches von den genannten Symptomen kann auf einen defekten Luftverdichter in der Bremsanlage des Busses deuten?,Beim Bremsen hört man ein Luftzischen im Verstärker.,Abgesenkter Druck im pneumatischen System.,Plötzlicher Anstieg des Drucks in der Bremsanlage.,B,,SPECJALISTYCZNY,1,"D,D1",D9,,,,,,,,
6934,"Jak powinieneś postąpić w przypadku agresywnego, utrudniającego kierowanie pojazdem zachowania pasażera względem Ciebie lub innych podróżnych?",Kontynuować jazdę do najbliższego komisariatu policji.,Zatrzymać pojazd i wezwać odpowiednie służby.,Nie podejmować żadnych działań.,"What should you do in the event of an aggressive behaviour of a passenger towards you or other passengers, making it difficult for you to drive?",Continue driving to the nearest police station.,Stop the vehicle and call the relevant forces.,I do not have to take any action.,"Was sollen Sie tun, wenn sich ein Passagier aggressiv gegenüber einem anderen Passagier oder gegenüber Ihnen verhält und dadurch die Fahrzeugführung behindert?",Die Fahrt bis zur nächsten Polizeistelle fortsetzen.,Das Fahrzeug anhalten und zuständige Dienste rufen.,Nichts unternehmen.,B,6D150.jpg,SPECJALISTYCZNY,3,"D,D1",D10,,,,,,,,
6935,W jakiej odległości za pojazdem należy umieścić trójkąt ostrzegawczy w celu zabezpieczenia miejsca wypadku na drodze ekspresowej?,100 m.,30-50 m.,10 m.,At what distance behind the vehicle should you place a warning triangle in order to secure an accident scene on an express road?,100 m.,30-50 m.,10 m.,In welcher Entfernung hinter dem Fahrzeug ist ein Warndreieck zur Absicherung der Unfallstelle auf einer Schnellstraße aufzustellen?,100 m.,30-50 m.,10 m.,A,6D151.jpg,SPECJALISTYCZNY,3,"D,D1",D10,,,,,,,,
6936,"O co, w pierwszej kolejności, masz obowiązek zadbać w przypadku pożaru autokaru, którym kierujesz?",O bezpieczeństwo pasażerów i własne.,O zminimalizowanie uszkodzeń pojazdu.,O przewożony bagaż.,What should you primarily take care of in the event of a fire in the bus you are driving?,My safety and that of my passengers',Minimizing damages to the vehicle.,The transported luggage.,"Worum muss man sich in erster Linie kümmern, wenn der Reisebus während der Fahrt in Brand gerät?",Um eigene Sicherheit und Sicherheit der Passagiere.,Um Minimalisierung der Fahrzeugbeschädigung.,Um befördertes Gepäck.,A,6D152.jpg,SPECJALISTYCZNY,3,"D,D1",D10,,,,,,,,
6938,"Jak się powinieneś zachować, gdy wewnątrz autokaru, którym kierujesz, wybuchł pożar?",Dojechać do najbliższego parkingu i rozpocząć ewakuację pasażerów.,"Zatrzymać pojazd, uruchomić gaśnicę i próbować samodzielnie ugasić ogień.","Zatrzymać pojazd, wyłączyć silnik i rozpocząć ewakuację pasażerów.",How should you behave in case of a fire inside a bus during the journey?,Go to the nearest car park and start evacuating passengers.,"Stop the vehicle, activate the extinguisher and try to extinguish the fire alone.","Stop the vehicle, switch off the engine and start evacuating passengers.",Wie soll man sich beim Brand im Bus während der Fahrt verhalten?,Bis zum nächsten Parkplatz fahren und die Passagiere evakuieren.,"Fahrzeug halten, Feuerlöscher betätigen und versuchen, das Feuer selbst zu löschen.","Fahrzeug halten, Motor abstellen und die Passagiere evakuieren.",C,6D154.jpg,SPECJALISTYCZNY,3,"D,D1",D10,,,,,,,,
6939,Czy ten znak zabrania Ci wyprzedzania tramwajem innych pojazdów na drodze?,,,,Does this sign prohibit other vehicles on the road from overtaking the tram?,,,,"Verbietet dieses Zeichen, mit der Straßenbahn andere Fahrzeuge zu überholen?",,,,N,7A1101.jpg,PODSTAWOWY,1,PT,P1,,,,,,,,
